max_reports,Mean C-index,Std C-index,Patients,Décédés,mean_study_time (days),std_study_time (days),Execution Time (s),Mean reports per patient,Std reports per patient
92,0.7499499614970415,0.0136711690660465,7121,4983,1741.834,1787.831,390.34,37.8,22.42
94,0.7492816558309056,0.0135236358914721,7121,4983,1741.834,1787.831,393.85,37.9,22.56
96,0.749144712150163,0.0135650257426066,7121,4983,1741.834,1787.831,397.7,37.9,22.69
98,0.749423264866236,0.0137095207069721,7121,4983,1741.834,1787.831,388.97,38.0,22.81
100,0.7500097692519301,0.0136185185546136,7121,4983,1741.834,1787.831,414.51,37.998,22.933
100,0.7500097692519301,0.0136185185546136,7121,4983,1741.834,1787.831,385.03,38.0,22.93
102,0.7497067539291262,0.0135867045676839,7121,4983,1741.834,1787.831,388.25,38.038,23.042
112,0.750292509775072,0.0141672490881372,7121,4983,1741.834,1787.831,377.84,38.194,23.502
122,0.7501730614783669,0.0136219935292442,7121,4983,1741.834,1787.831,389.89,38.301,23.856
132,0.7501335453364685,0.0140533575836015,7121,4983,1741.834,1787.831,382.33,38.378,24.14
142,0.7503951196578202,0.0140349116410216,7121,4983,1741.834,1787.831,390.73,38.431,24.357
150,0.7501872310489982,0.0139998069461122,7121,4983,1741.834,1787.831,412.98,38.461,24.487
152,0.7502353604970202,0.0140419037889731,7121,4983,1741.834,1787.831,392.13,38.467,24.515
162,0.7502651826111768,0.0140781766046754,7121,4983,1741.834,1787.831,394.53,38.494,24.647
172,0.7503230781500341,0.0140038375886962,7121,4983,1741.834,1787.831,395.11,38.513,24.744
182,0.7502482646138418,0.0141107330883069,7121,4983,1741.834,1787.831,388.3,38.524,24.808
192,0.7504371813888187,0.0141810641888502,7121,4983,1741.834,1787.831,396.16,38.532,24.851
202,0.7504333706397676,0.0141710667847849,7121,4983,1741.834,1787.831,382.89,38.535,24.874
212,0.7504844828867064,0.0142012788521158,7121,4983,1741.834,1787.831,395.76,38.537,24.884
